Total test-suite time	Mean(Total - TFF AutoTCP)	Median(Total - TFF AutoTCP)	Mean(TFF Random - TFF AutoTCP)	Median(TFF Random - TFF AutoTCP)
0	8.1805	5.1688	1.569	0.2952
10	17.3264	12.793	3.7944	1.5938
20	29.6945	23.9897	7.5661	3.4357
30	44.8115	34.1757	13.488	7.3317
40	61.0835	74.1221	22.5012	18.222
50	76.264	80.8144	30.2922	29.0517
60	79.1376	80.9299	31.9195	30.8646
70	79.6543	81.2256	32.2835	31.2648
80	79.6543	81.2256	32.2835	31.2648
90	90.4091	84.1031	36.0962	36.3061
100	121.0193	111.6165	49.3902	54.9048
